16/09/2018,3
17/09/2018,0.1
18/09/2018,0.5
19/09/2018,1.9
20/09/2018,2.2
21/09/2018,6.7
22/09/2018,8.8
23/09/2018,9.8
24/09/2018,9.6
25/09/2018,8.2
26/09/2018,4.7
27/09/2018,3.7
28/09/2018,7.4
29/09/2018,8.6
30/09/2018,8.9
01/10/2018,9.6
02/10/2018,4.8
03/10/2018,5
04/10/2018,6
05/10/2018,4.8
06/10/2018,10.1
07/10/2018,11.2
08/10/2018,7.6
09/10/2018,5.3
10/10/2018,3.5
11/10/2018,3.5
12/10/2018,2.7
13/10/2018,0.7
14/10/2018,7.7
15/10/2018,8
16/10/2018,5
17/10/2018,6.4
18/10/2018,8.5
19/10/2018,9.1
20/10/2018,6.6
21/10/2018,5.9
22/10/2018,10.5
23/10/2018,8.5
24/10/2018,7.4
25/10/2018,10.2
26/10/2018,11.6
27/10/2018,16.4
28/10/2018,14.9
29/10/2018,15.3
30/10/2018,14.8
31/10/2018,12.7
01/11/2018,11.2
02/11/2018,13.4
03/11/2018,10.8
04/11/2018,9.6
05/11/2018,8
06/11/2018,6.8
07/11/2018,8.4
08/11/2018,10.2
09/11/2018,9.4
10/11/2018,9.3
11/11/2018,9.6
12/11/2018,8.9
13/11/2018,9.3
14/11/2018,8.2
15/11/2018,7.5
16/11/2018,9.2
17/11/2018,11.2
18/11/2018,12.2
19/11/2018,13.2
20/11/2018,15.4
21/11/2018,16.3
22/11/2018,16.2
23/11/2018,13.3
24/11/2018,11.8
25/11/2018,13.4
26/11/2018,14
27/11/2018,13.7
28/11/2018,7.6
29/11/2018,8.1
30/11/2018,11.2
01/12/2018,9.9
02/12/2018,6.6
03/12/2018,9.8
04/12/2018,14.4
05/12/2018,9.8
06/12/2018,7.9
07/12/2018,10.1
08/12/2018,10.5
09/12/2018,11.1
10/12/2018,12.4
11/12/2018,13.8
12/12/2018,14.3
13/12/2018,17.1
14/12/2018,18.4
15/12/2018,16.6
16/12/2018,13
17/12/2018,12.3
18/12/2018,10.7
19/12/2018,12.6
20/12/2018,12
21/12/2018,9
22/12/2018,10.5
23/12/2018,11.1
24/12/2018,14.4
25/12/2018,13.3
26/12/2018,11.7
27/12/2018,12.7
28/12/2018,11.1
29/12/2018,9.6
30/12/2018,10.4
31/12/2018,10.7
